"","1.X","1.Y","1.Z","2.X","2.Y","2.Z","3.X","3.Y","3.Z","4.X","4.Y","4.Z","5.X","5.Y","5.Z","6.X","6.Y","6.Z","7.X","7.Y","7.Z","8.X","8.Y","8.Z","9.X","9.Y","9.Z","10.X","10.Y","10.Z","11.X","11.Y","11.Z","12.X","12.Y","12.Z","13.X","13.Y","13.Z","14.X","14.Y","14.Z","15.X","15.Y","15.Z","16.X","16.Y","16.Z","17.X","17.Y","17.Z","18.X","18.Y","18.Z","19.X","19.Y","19.Z","20.X","20.Y","20.Z","21.X","21.Y","21.Z","22.X","22.Y","22.Z","23.X","23.Y","23.Z","24.X","24.Y","24.Z","25.X","25.Y","25.Z","26.X","26.Y","26.Z","27.X","27.Y","27.Z","28.X","28.Y","28.Z","29.X","29.Y","29.Z","30.X","30.Y","30.Z","31.X","31.Y","31.Z","32.X","32.Y","32.Z","33.X","33.Y","33.Z"
"chick_ctr_1",-0.00204926297021396,-0.00265583445709491,0.00593329937667115,0.00158599845162177,-0.00673804425484704,0.00588916197277245,0.00233736684264466,0.000681992949350493,-0.00672737196287966,0.00147085853716733,0.00121225099986653,0.00409400989888948,0.00427701014549985,-0.00903287285756667,0.00197383765933882,-0.00697287674484379,-0.00978737624801718,-0.00213956072859597,-0.00155894686201913,-0.00095467630005093,0.00221887492715264,-0.00109750797849004,-0.000880515026869332,-0.00678896952991183,-0.00994496534535668,0.00514433926574207,0.00173996285758593,-0.0103108900526346,-0.00567737642117609,-0.00787000980114536,-0.0024928915310154,-0.00184091954737035,-0.00226428358065274,0.000951126081919468,0.000123875809515041,-0.00441634434867715,-0.0103963277313488,0.00415153730997048,0.00165733772892329,-0.0120392452702788,0.0026611178401124,0.000638462353201695,-0.0101429423150668,-0.000493936803334795,-0.0028764618038297,-0.00352047140289433,0.0024558903607244,0.00546890216101776,-0.0043082307236233,0.00264945150705185,0.00403211381256091,-0.00342417364285089,0.00216852034068024,0.002343276222289,-0.00736339575511194,0.00517663008964853,-0.00158471699305947,-0.00758909708085767,0.00423944841376676,-0.00317900058744184,-0.00565872586113966,0.00241247652775264,-0.00485816802587338,-0.00988513559863334,0.00505950229478767,-0.00147161132865017,-0.010118800016263,0.00380411405858239,-0.00193207788973203,-0.00832059209105805,0.00164481491466483,-0.00223509773041954,0.0017633069380151,0.00148278331214012,-0.00472982260540977,0.0023175888286224,0.0012073203593901,-0.00464411076419653,0.0013041910622682,0.00142056271906418,-0.00405946930090025,-0.000420869708453481,0.000903138026072184,-0.000597395640249675,-0.00205013306254218,0.000945293078006934,0.000472530118948628,-0.00355220319489272,0.000906815348176754,0.00137465962528617,-0.00440440970512906,0.000938748767459925,0.00132061676997592,-0.00481205494195949,0.000585444945612447,0.00118523356903202,-0.00495245625532911,-0.000195061307865008,0.00115662977416727
"chick_ctr_10",0.000114398229702606,0.00326048384866177,-0.00494168388675515,0.0141494053408036,0.0109494523004036,-0.0172939935029861,0.0046988470381826,-0.0121423389485676,0.00349163664575054,-0.0143271690221173,-0.0146542021023695,-0.00848350996507595,-0.000326610198591398,0.00644745255361739,-0.00578416838053252,0.0164114458942325,0.00151762804548618,0.00136689899933626,0.000309575801005352,0.0134899749202229,0.00204474436858799,0.0114189985400793,0.00285202549408688,0.0063768633195876,0.00815584317648414,-0.00887820610922772,0.0015985994008438,0.00400503824849055,0.00671546713814582,-0.00425027996246388,-0.00250260580503779,0.00208198386123384,0.00996584625118504,0.00424203816598881,-0.00796985003073435,0.0117544969170948,0.0140794036191553,-0.00217620654069405,-0.019217642685534,0.00174362978348803,-0.0048816186751814,0.000502656069626868,0.00910977775472569,-0.00500502562087547,-0.0158532681915059,-0.00864813104804185,-0.0126981614325632,0.00228365980544101,-0.00346370820760375,-0.00929280702841578,0.00359619364433412,0.00305899463909939,-0.00556555002184766,0.000434184609553231,-0.00313426858302648,-0.0109270823629509,-0.00231334340860216,-0.00110340781011137,-0.00895755680261443,0.000885399692217261,0.000814545657510685,-0.00760371891219909,0.00549675293731818,0.00514747294201143,-0.00850225637504991,-0.00242500862470548,0.00417467444200106,-0.00670884811867942,0.000744374389781121,0.00483837371182479,-0.00461731887118786,0.00171820866293883,0.00352119142936919,-0.0136764458859222,0.00168933465040323,0.00213156696880934,-0.0133386319610838,0.00176211411438206,-0.000346387391187808,-0.0116016503057777,0.000221174438360967,-0.00279489346025774,-0.00915685536641062,-0.000989307392627854,-0.00487072880859565,-0.00658825880637763,-0.000740881360948108,-0.00705890384202171,-0.00366937004803216,-0.00158128020830741,-0.00742198648777995,-0.000497771246820489,-0.00447769243440543,-0.0088236154057246,0.00250409358953703,-0.00753929791992366,-0.00672611746040139,0.00463192292512299,-0.00622130269472809
"chick_ctr_11",-0.000424023969778725,0.0016088533073353,0.00433609552823599,-0.00252005191827553,0.000603587052180624,0.00209563410335627,-0.00311718990581317,-0.00656559998838557,-0.000723977077694888,0.00491683262403925,-0.0114746889089196,0.00670884283630575,-0.00620732078373462,0.00339610203723935,-0.00432936988943027,-0.000784752191275523,0.00365120073101655,-0.00713793181440525,-0.00714830726585813,0.00451267698981084,0.00249310079755527,0.00289215306026461,0.00606769042097878,-0.006268228691909,-0.005389555265987,-0.0154355999097249,-0.0069480231089153,-0.00306354728979389,0.0107981070456493,-0.014634462116606,-0.00292706808591981,0.00618838022069633,-0.00131987702688737,0.00979312589204484,-2.65157277186956e-05,0.00343436640205609,-0.00347148770998002,-0.0069631028461031,-0.000694322441649786,-0.00520639643845531,0.000890314615423944,0.00220232174309326,0.00302802990032487,0.00748936409029398,-0.000874554554471206,0.00357039822379135,-0.00738869265431828,0.00455039011453939,0.0042076176566142,-0.00330590774768351,0.00335713858023395,0.00535222661999471,0.000224585399526115,-0.00112241349504514,0.00239347188678604,-0.00599546010355903,-0.00109780561839555,0.00401403324808883,-0.00174037495877142,0.0002180658675459,0.00638922980902409,0.000873008039344418,0.00117224559130361,-0.00126144747404107,-0.00654013349154313,-0.00354250448747869,0.000447578428671103,-0.000586351572633568,-0.000957930957587541,0.00350623266304906,0.00386173288584859,0.000288188640514811,-0.00359449625415148,-0.0074375605408676,-0.00637681067996177,-0.00278872768712807,-0.00773147981798149,-0.00396380128000193,-0.00221888429427089,-0.00631205641221552,-0.00325994843186071,-0.00160136830607213,-0.00463860567022959,-0.00150732208435472,-0.00117362154605244,-0.0029105132288353,0.00017404989672489,-0.000938866460258037,-0.00107391125491097,0.000984554538447645,-0.00119233231378996,0.000524734840559742,0.00267134236041657,-0.00132058683392888,0.00196870460452517,0.00399597982964653,-0.00184949199294496,0.00342681840010339,0.00446380003335739
"chick_ctr_12",-0.0227603089637695,0.00173800889064274,0.00186494876654488,0.0159970883499291,0.0146655995783316,-0.00161896601671209,0.0048742875368539,-0.00459593919910195,0.00615206063478866,1.30749087333404e-05,-0.00439559925118792,0.00734065798342187,-0.00854007242065136,0.00446341003115926,0.00473203445978077,0.00236147363974365,-0.00300730507969296,0.00272923073797825,-0.000286259987320653,-0.0053038075552195,0.00280408973964706,-0.00309640677233525,-0.00605516840243151,0.00496729495174295,-0.00365582868434074,-0.00333287132784085,-0.000792306965074268,-0.00408188593633643,-0.015189821934818,0.004334989985117,0.0121498991225885,0.000961743374383664,-0.00609885949490473,-0.0138907260925573,0.005443264518109,-0.00405320019973021,-0.00379110518224982,-0.00675725729746583,-0.00442953007738025,-0.000463322003001782,-0.00908188167447468,-0.00733256589745492,-0.00144214428013398,-0.0111864793860232,-0.00349259892367952,-0.00491323021500722,-0.00585023708584673,0.00691304561774161,-0.00727955412410958,-0.00537422119329991,0.00712673088041343,-0.00661216865813399,-0.00450584806896438,0.00195110542625055,-0.00633033986127482,-0.00761819309170655,-0.00467439286964589,-0.00832397188216444,-0.00723353095825831,-0.00829670693656936,-0.00968168481129714,-0.00466772476663334,-0.00276115708240434,-0.00563160838114844,-0.00716586764047593,-0.00571880419318912,-0.00625994585127827,-0.00831683302341065,-0.00891799505946411,-0.00764277953060008,-0.00785106407904775,-0.00647189505829089,0.00315812288020453,-0.00347959107093249,0.00244231219624123,0.00229896660975731,-0.00309458544906996,0.00269066261535935,0.00142239351360807,-0.00379384682095134,0.00212085589126437,0.000859148110903346,-0.00478746112327997,0.000789660180037867,0.00014833237513423,-0.00516654438742096,-0.00208126228861608,-0.00121454960156284,-0.00563875350441383,-0.00228496744411379,-0.00299370978289618,-0.00577050170271342,-0.00408068593976246,-0.00498040409290507,-0.00572336192089532,-0.00356051842170889,-0.00907049341606289,-0.0056787474030159,-0.00505870829424416
"chick_ctr_13",0.00978243000180568,-0.00156613045121382,-0.00463983379033356,-0.0141690134138703,-0.0127283099828297,-0.00677318901181674,-0.011157485431951,-0.00389993934616036,0.00366662858460877,0.0226750803755116,-0.000637937489356991,-0.00245055597847799,0.00490354529183698,0.00096810111712764,0.00704035663852552,-0.00200604457046574,-0.00234253407029085,-0.00665075274591624,0.00339345483805992,-0.000557239864165407,0.00354709672736906,-0.00754340705754231,-0.00348191043335506,-0.00636094902292308,-0.00259267955287097,-0.0022599993417905,-0.000294605870934096,-0.00327483232357741,0.00433663669555177,0.000895133634393086,0.0081227591441255,0.0112365270795067,0.00436663284907609,-0.00684884119398235,0.00184761764380503,0.00368455933576761,-0.00492289082498879,0.000898412790211224,0.00167009118002883,-0.00200505498932763,0.00372381462877018,0.0050974703668862,-0.00278244634071683,0.00563865250653121,0.0063971762396582,0.00995379336481914,-0.00025994871849179,-0.000607191319362996,0.00223370107487786,0.00026621266800668,-0.00104778330896145,-0.00456192730026717,-0.00032859996061194,0.00252200200581761,0.0037687218422261,0.000399495726692234,4.18074240113291e-05,-0.000725273276497213,0.00152497139457689,-0.00253894450244681,-0.00449243084198389,0.00167390773743208,-0.00137666560670214,-0.000645304271018693,0.000565902400568821,0.00142124504941126,-0.00264419588766859,0.00248958910537167,0.00171802153553601,-0.00425959881409352,0.00351219596743959,0.00245485285713711,-0.0100854227946433,-0.00232761938714965,-0.00152288887909553,-0.00893947291935554,-0.00251710018985615,-0.00208329453461739,-0.00725648741661919,-0.00237473378271782,-0.00269436032051625,-0.00572395353925229,-0.00186037100897508,-0.00373109480080357,-0.00389384014030819,-0.00138062862613961,-0.00428843377439792,-0.00212789735338337,-0.00111207425515082,-0.00396499729352008,-0.000668370190559625,-0.000997045032877394,-0.00314659233522032,0.000879379640153943,-0.000874601864329236,-0.00307209051350145,0.00183170190317339,-0.000882124656514341,-0.00235399510308705
"chick_ctr_14",-0.00434157474717028,-0.000138089706251232,0.00153500671254298,0.0058668503359246,-0.00729894519850167,-0.000429517356657985,0.00425640918399572,0.000519453384782292,-0.000825671505872342,-0.00552181831983553,0.00597658392700985,0.00309825823925115,0.0026757412036011,-0.010883798403748,0.00695031696220026,-0.00222272471675439,-0.0117255119047366,0.00282209412255566,-0.00120093287871635,-0.00442805096607794,0.000630636244582895,0.00464308671033895,-0.00208076988458639,-0.00151523932774252,-0.0134258210866877,0.00668357641517357,0.00843112408029171,-0.00639733670037688,-0.0025939655330325,0.000666956650616859,-0.0058576857405625,-0.00919291831630634,0.00520774247022488,0.0039852618833616,-0.00736628867589779,-0.00713025942634404,-0.0139455597971518,0.00380115162618323,0.0049077224143905,-0.0118806486056494,0.00133994391381236,0.000439797979159191,-0.0109539593783018,-0.00104853308408176,-0.000433197863478294,-0.00295264261432826,0.00576833938812533,-0.000185389029270978,0.000275913564953184,0.00412286068950726,-0.000266741696029017,0.00347773563326711,0.00222584510400968,0.00291883941526998,-0.00441785851078211,0.00640888696100626,-0.00191615023152166,-0.0013798793922849,0.004115955891832,-0.00514835011896511,0.00184250793929547,0.00100893741257196,-0.00429578298267842,-0.00972660778541323,0.00523971946465456,0.00139380886826739,-0.00786143732162062,0.00251831474634,-0.00407548135819458,-0.00526872958303801,-0.000808036189060016,-0.00572856305754176,0.00244589947083945,0.00239940822335145,0.000496671496976075,0.00314000831292585,0.00306429584598499,-0.00208088767009205,0.00377484873725251,0.00401884525560477,-0.00473708888124033,0.00530843054769209,0.00318017168044127,-0.00269491321985863,0.00623404207214465,0.00304215793508662,-0.00359418845241093,0.00609229133998471,0.00215869676186386,-0.00126800003253354,0.00618662428507419,0.00171936102455816,-0.000903702669792285,0.00607633907434638,0.000901542922642447,0.000363089919673572,0.00286740072546229,0.00013110233211501,-0.00126805829785457
"chick_ctr_15",-0.0105387356087929,-0.013236946086299,0.000719119835805774,0.0119078547260517,0.000774967849094504,0.00414961985106935,0.0146758628705556,0.00730884902438168,0.00386055935500225,-0.00151532869166174,0.00378052638332196,0.00816414228662041,0.00718012345574966,-0.0150832374355,0.00249204293390879,0.0108747063221105,-0.0055986277973869,-0.00479902134830282,0.00804005879539216,-0.0112844314076803,0.00309788007495847,0.0080535536297795,-0.00553862395067065,-0.00239637447863947,-0.00786284347961467,0.00393558584531518,0.00785607331813286,-0.00676657309458062,0.00554197395270124,0.00822212206055296,0.0165358103987231,-0.00245213840713,-0.000185587164687999,-0.00376633224902878,-0.0110474599594392,-0.00047793110892671,-0.00506432681424071,-0.00316102794275486,0.00439463500732249,-0.00452004239567858,-0.00612767019079979,0.00235974814705953,-0.00834020545401982,-0.00254218771008834,0.0053410655754358,-0.00028904917104508,-0.00445083441143831,0.000655229473050663,0.00104280561827788,-0.00954501181085087,-0.00088095737814404,0.00328747690643511,-0.010855874696928,-0.00102924221678231,-0.00145324441874559,-0.0119716139320267,-0.00114891565182118,-0.000644403681157257,-0.0177470434723882,-0.00122686073176687,-0.000191343084803258,-0.0191694654413293,-0.00314159042209835,-0.00513511588621209,-0.00769637552207136,0.00216055785370946,-0.00497061236549971,-0.0120853748413559,-0.00103485556770419,-0.00583253360866878,-0.0113256383579465,-9.00492284682322e-05,0.012082988201722,0.00924871971030354,0.00625432820846478,0.0114574619118463,0.0101441305581958,0.00385148011983164,0.0108390952494741,0.00669971937524583,0.00171826178737846,0.0105123216940403,0.001009324641978,-9.59344166844176e-05,0.00977199098662149,-0.0044904939962237,-0.00164356254321627,0.0082876044499359,-0.0099856698790575,-0.00123344616611582,0.00685971232490459,-0.0153204873777893,-0.00294657713835293,0.004606060611482,-0.0204520097980274,-0.00244656621808986,0.00336150877778305,-0.0257400689856994,-0.00399384205956766
"chick_ctr_16",0.00699856455545886,-0.00411290815575099,-0.00497198045818116,-0.00225994213596165,-0.00540410230558397,0.00461225493251638,0.00773570343187449,0.00672801696635196,-0.00435963245317607,-0.00147621911568843,0.00566965249889877,-0.00359449748008934,0.00326524547560778,-0.00249714105482515,-0.000993060812664264,0.0138182323476163,-0.000978006391334316,-0.0017566630602587,0.00782453572784048,-0.00228269161904783,-5.67872005099159e-05,0.00530776706969963,0.00158888473673382,0.00327274577158484,-0.00728366147431306,0.000649501151693793,0.000388850639525063,0.00175358735117247,-0.0173370199189603,0.00749610940166816,-0.00419725476639653,-0.000968977761075976,0.000798963467169221,0.0143575679147156,0.00167703707096644,-0.00602068524754921,-0.00766216825996436,0.0013207858147493,0.00205852676454422,-0.00609138866113704,-0.000499242764765321,0.00106260045898389,-0.00432830691178408,-0.00684973800879684,0.00368040576575773,-0.00144642903552009,0.00638656352695931,-0.00203746101647801,0.00131548226501513,0.00642440919047579,-0.00381454158658459,0.00377431706140685,0.00552502845580994,-0.00269147992167869,-0.00417870503448992,0.00898894745888947,-5.80637233174152e-05,-0.00142054088446203,0.00902074060126016,-0.00131196881409729,0.00356692242349457,0.00723774829300344,-0.00476056510905984,-0.00596608224604918,0.00462060927432862,0.00129873959907497,-0.00379009264191837,0.0036040666883548,0.00147572098760555,0.00053753714662963,-0.000316726966557752,0.000668846537137118,0.00627344044355055,0.00630921614317315,-0.00392027978486915,0.00708724970056349,0.00582652864830491,-0.00431689385301999,0.0063435130984841,0.00574647043182283,-0.00181800398783355,0.00485033319365302,0.00564481019950367,0.00221146153669332,0.00315164396624631,0.00599431116839359,0.00322731511082573,0.00294072628830244,0.00625248016938639,0.00230245007550555,0.0022382962687392,0.00664658015150011,0.00147227635328004,0.00211606533896211,0.00669502297723374,-0.000366164663344055,0.00243631491028601,0.00716047326444622,-0.00100153607673007
"chick_ctr_17",0.00121510710068934,-0.000564044051221957,0.00846985338135058,-0.00386154229773727,-0.0212512294991462,0.0162943063780219,-0.00965115075489878,-0.00964826843051851,0.00287097779196621,0.00570537636334134,-0.0103380032657662,-0.00284370774691645,-0.00429030275748842,0.0143422281073757,0.000798717733052227,0.00253014356316242,0.00530465566571535,-0.00255772979858399,0.00355686169455108,0.0117028607730082,-0.003303307132645,-0.00511096583549639,-0.00134436429595791,-0.00298385689933966,0.00922194850451101,-0.00357100816948379,-0.00259276878520973,-0.00493346802184943,0.01113449601249,0.00168486109584488,-0.0051970772414126,0.00901740560538826,0.00118714730342732,0.000673089998722454,0.00895741226771955,-0.00620972307447518,0.00400016856034818,0.00502979054805047,0.00254894173531379,-0.00131130033802232,0.0110287362408757,0.00360421495444075,-0.00224337912443695,0.0122018914904174,0.00159160608750315,0.00508221997416944,0.000183816752275953,-0.00537737255873059,0.00273057475231644,0.00593588922512365,-0.005296277002615,-0.00119524637032556,0.00600675660016466,0.0004108446095925,0.00479111042989075,0.00914137102911271,-0.00176567901028528,0.00297984507159493,0.0161716796629861,-0.00372655208099745,0.00106259627960636,0.0181291985239698,-0.00293905262760936,0.00485140496623226,0.00792651596122378,-0.00151087622111939,0.00170150094799426,0.0143436347892944,-0.00086971480513145,-0.000108819997771945,0.0162773867992277,0.000207157163811849,-0.00822224632381954,-0.0107988012623273,-0.00219297145686388,-0.00827717302476891,-0.0120044784563533,-0.00145417952989389,-0.00735096762700618,-0.00893631470828757,-0.00222551435455435,-0.0058081851090559,-0.0039765324270131,-0.00253963415508323,-0.00341252138266721,0.000146274796551375,-0.000819489519381822,-0.00086459131573996,0.00456433798870835,-0.00234169541842889,0.000340020496252313,0.00841451014581411,0.000877396493732027,0.000922318337481243,0.0121816549548196,0.000632219506674971,0.00127217105761757,0.0164082700220957,0.000790562294831015
"chick_ctr_18",-0.0158214989236894,-0.00433441884905549,-0.00247182820032445,0.0336125603139218,-0.00632542475634296,-0.00337628459188379,0.0210813506143163,-0.00311341267717942,0.000309042785218651,0.00188611342670447,0.00709693486766175,0.00355784926769736,-0.00407969853780563,-0.0135979838898968,0.0034655998391645,0.011763894508549,-0.01467820116707,-0.00725525712455867,0.00179315324682687,-0.00737413836666036,0.00686102572945576,0.00724809563746892,-0.010229028831876,-0.00874086187458427,-0.0104286499873945,0.00194336610760137,0.0109162965434982,-0.0121625386298158,-0.00162768095739838,0.0194643412162485,0.0159404259653242,0.00164888831784238,0.000509764608219462,-0.00957240812717838,-0.00184165610842189,-0.00595260139258184,-0.0110515307921465,-0.000535474121585146,0.0101160442856284,-0.0125656170951032,-0.00170552315712538,0.0108915311876581,-0.00951541229085623,-0.00159966992845925,0.0121051825032332,-0.00127276302601345,0.00399589277952675,-0.00245646502563242,9.84632959266096e-05,0.00173790049544845,-0.00945317012843817,-5.49169963095508e-05,-0.00195046438161729,-0.00171472076309735,-0.00775997832213114,0.000530611669946127,-0.00125430841161925,-0.00811168432697232,-0.00189637878888632,-0.00576450027925334,-0.00846016141984926,-0.003494570179611,-0.00595991496685924,-0.0119938085211296,0.000330583507276369,0.00328953250313823,-0.0130154316820118,-0.00174364178801715,0.00400213916318437,-0.013101075547009,-0.0024517229338004,0.00590965279149865,0.0176986840110745,-0.000261042069154879,-0.00105086953314798,0.017805564702087,0.000273139713492784,-0.00254830516189462,0.0157654648183729,-6.5690590646289e-05,-0.00499357888365035,0.0129055865609241,-0.000728047791011759,-0.00850751514696427,0.0101991916046926,-0.00242722943252579,-0.00755494477591451,0.00716083170817802,-0.00365325098752039,-0.00768958081089036,0.00374336046745521,-0.00565509681690964,-0.00573663911317933,0.000240697163254644,-0.00753207498908333,-0.00392906567411258,-0.00436188343897631,-0.00993000170006339,-0.00378092511690798
